<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAIL,60,20200706,180000,1843.2000000,1844.2000000,1827.0000000,1833.8000000,55751
MAIL,60,20200706,190000,1833.4000000,1855.0000000,1832.0000000,1852.0000000,30570
MAIL,60,20200707,110000,1899.0000000,1927.4000000,1856.0000000,1909.4000000,267413
MAIL,60,20200707,120000,1909.4000000,1915.0000000,1903.0000000,1909.0000000,60462
MAIL,60,20200707,130000,1908.0000000,1915.0000000,1906.2000000,1913.2000000,30953
MAIL,60,20200707,140000,1914.4000000,1919.0000000,1911.0000000,1916.2000000,34503
MAIL,60,20200707,150000,1916.2000000,1917.0000000,1883.0000000,1884.0000000,80128
MAIL,60,20200707,160000,1884.2000000,1884.8000000,1852.0000000,1856.0000000,65659
MAIL,60,20200707,170000,1856.2000000,1863.4000000,1852.2000000,1857.6000000,34712
MAIL,60,20200707,180000,1857.4000000,1871.6000000,1852.0000000,1869.8000000,38911
MAIL,60,20200707,190000,1869.6000000,1874.2000000,1858.8000000,1873.0000000,30452
MAIL,60,20200708,110000,1880.0000000,1889.8000000,1849.0000000,1850.2000000,52977
MAIL,60,20200708,120000,1850.8000000,1853.6000000,1845.0000000,1852.0000000,14942
MAIL,60,20200708,130000,1851.8000000,1855.0000000,1845.0000000,1846.2000000,9613
MAIL,60,20200708,140000,1845.8000000,1849.4000000,1845.0000000,1848.6000000,8231
MAIL,60,20200708,150000,1848.6000000,1850.0000000,1845.0000000,1846.2000000,7805
MAIL,60,20200708,160000,1846.2000000,1850.0000000,1846.2000000,1849.6000000,3459
MAIL,60,20200708,170000,1849.4000000,1849.4000000,1840.2000000,1841.6000000,13120
MAIL,60,20200708,180000,1841.4000000,1846.6000000,1840.4000000,1844.2000000,8171
MAIL,60,20200708,190000,1844.2000000,1845.0000000,1835.0000000,1838.6000000,18365
MAIL,60,20200709,110000,1845.0000000,1855.0000000,1782.6000000,1802.4000000,78482
MAIL,60,20200709,120000,1802.4000000,1817.0000000,1800.6000000,1812.4000000,19324
MAIL,60,20200709,130000,1812.4000000,1814.0000000,1810.0000000,1813.6000000,11129
MAIL,60,20200709,140000,1813.0000000,1815.2000000,1809.2000000,1811.2000000,10824
MAIL,60,20200709,150000,1811.0000000,1819.8000000,1810.4000000,1818.6000000,5415
MAIL,60,20200709,160000,1819.0000000,1825.2000000,1818.0000000,1823.0000000,7732
MAIL,60,20200709,170000,1823.2000000,1828.4000000,1816.0000000,1816.0000000,12864
MAIL,60,20200709,180000,1816.0000000,1827.0000000,1809.0000000,1816.8000000,15619
MAIL,60,20200709,190000,1815.0000000,1818.0000000,1806.0000000,1808.0000000,3666
MAIL,60,20200710,110000,1804.0000000,1838.0000000,1803.4000000,1814.8000000,25884
MAIL,60,20200710,120000,1815.0000000,1822.0000000,1810.0000000,1810.2000000,9646
MAIL,60,20200710,130000,1810.4000000,1820.0000000,1810.0000000,1820.0000000,7395
MAIL,60,20200710,140000,1820.0000000,1822.0000000,1816.6000000,1818.2000000,5621
MAIL,60,20200710,150000,1818.0000000,1823.6000000,1817.4000000,1823.0000000,6497
MAIL,60,20200710,160000,1823.0000000,1823.0000000,1815.0000000,1819.0000000,3262
MAIL,60,20200710,170000,1819.0000000,1819.0000000,1812.0000000,1815.6000000,23298
MAIL,60,20200710,180000,1815.8000000,1817.4000000,1810.2000000,1812.2000000,3677
MAIL,60,20200710,190000,1812.0000000,1815.0000000,1811.6000000,1811.8000000,3540
MAIL,60,20200713,110000,1822.4000000,1838.0000000,1818.0000000,1825.0000000,19299
MAIL,60,20200713,120000,1826.0000000,1829.0000000,1822.0000000,1828.4000000,7306
