ATVI-RM,1,20200824,223100,6167.0000000,6167.0000000,6167.0000000,6167.0000000,1
ATVI-RM,1,20200824,223700,6169.0000000,6169.0000000,6169.0000000,6169.0000000,1
ATVI-RM,1,20200824,224400,6178.0000000,6178.0000000,6178.0000000,6178.0000000,3
ATVI-RM,1,20200824,230000,6200.0000000,6200.0000000,6200.0000000,6200.0000000,1
ATVI-RM,1,20200824,231300,6228.0000000,6228.0000000,6228.0000000,6228.0000000,1
ATVI-RM,1,20200824,232000,6228.0000000,6228.0000000,6228.0000000,6228.0000000,1
ATVI-RM,1,20200824,233100,6228.0000000,6228.0000000,6228.0000000,6228.0000000,1
ATVI-RM,1,20200824,233200,6228.0000000,6228.0000000,6228.0000000,6228.0000000,6
ATVI-RM,1,20200824,234300,6239.0000000,6239.0000000,6239.0000000,6239.0000000,23
ATVI-RM,1,20200824,234700,6233.0000000,6233.0000000,6233.0000000,6233.0000000,19
ATVI-RM,1,20200824,234900,6233.0000000,6233.0000000,6233.0000000,6233.0000000,1
ATVI-RM,1,20200825,100100,6109.0000000,6235.0000000,6109.0000000,6235.0000000,3
ATVI-RM,1,20200825,100300,6243.0000000,6243.0000000,6243.0000000,6243.0000000,1
ATVI-RM,1,20200825,100400,6235.0000000,6235.0000000,6235.0000000,6235.0000000,2
ATVI-RM,1,20200825,100500,6196.0000000,6196.0000000,6196.0000000,6196.0000000,2
ATVI-RM,1,20200825,100600,6235.0000000,6235.0000000,6235.0000000,6235.0000000,15
ATVI-RM,1,20200825,100700,6230.0000000,6230.0000000,6230.0000000,6230.0000000,25
ATVI-RM,1,20200825,101000,6227.0000000,6227.0000000,6227.0000000,6227.0000000,3
ATVI-RM,1,20200825,101500,6224.0000000,6224.0000000,6224.0000000,6224.0000000,1
ATVI-RM,1,20200825,102200,6211.0000000,6211.0000000,6211.0000000,6211.0000000,1
ATVI-RM,1,20200825,102400,6213.0000000,6213.0000000,6213.0000000,6213.0000000,3
ATVI-RM,1,20200825,102500,6213.0000000,6213.0000000,6213.0000000,6213.0000000,1
ATVI-RM,1,20200825,102800,6219.0000000,6219.0000000,6219.0000000,6219.0000000,1
ATVI-RM,1,20200825,103200,6219.0000000,6219.0000000,6219.0000000,6219.0000000,1
ATVI-RM,1,20200825,103300,6219.0000000,6219.0000000,6219.0000000,6219.0000000,1
ATVI-RM,1,20200825,103800,6219.0000000,6219.0000000,6219.0000000,6219.0000000,1
ATVI-RM,1,20200825,103900,6219.0000000,6235.0000000,6219.0000000,6235.0000000,23
ATVI-RM,1,20200825,104300,6241.0000000,6241.0000000,6240.0000000,6240.0000000,2
ATVI-RM,1,20200825,104700,6237.0000000,6237.0000000,6237.0000000,6237.0000000,1
ATVI-RM,1,20200825,105200,6238.0000000,6238.0000000,6238.0000000,6238.0000000,2
ATVI-RM,1,20200825,105500,6237.0000000,6237.0000000,6237.0000000,6237.0000000,1
ATVI-RM,1,20200825,105600,6238.0000000,6238.0000000,6238.0000000,6238.0000000,3
ATVI-RM,1,20200825,105800,6238.0000000,6238.0000000,6238.0000000,6238.0000000,1
ATVI-RM,1,20200825,110100,6242.0000000,6242.0000000,6242.0000000,6242.0000000,1
ATVI-RM,1,20200825,110200,6245.0000000,6245.0000000,6245.0000000,6245.0000000,1
ATVI-RM,1,20200825,110500,6228.0000000,6228.0000000,6228.0000000,6228.0000000,1
ATVI-RM,1,20200825,111100,6228.0000000,6228.0000000,6228.0000000,6228.0000000,1
ATVI-RM,1,20200825,111800,6230.0000000,6230.0000000,6230.0000000,6230.0000000,2
ATVI-RM,1,20200825,112000,6220.0000000,6220.0000000,6220.0000000,6220.0000000,1
ATVI-RM,1,20200825,112200,6230.0000000,6230.0000000,6230.0000000,6230.0000000,1
ATVI-RM,1,20200825,112300,6230.0000000,6230.0000000,6230.0000000,6230.0000000,16
ATVI-RM,1,20200825,112700,6237.0000000,6237.0000000,6237.0000000,6237.0000000,1
ATVI-RM,1,20200825,112900,6237.0000000,6237.0000000,6237.0000000,6237.0000000,20
ATVI-RM,1,20200825,113000,6225.0000000,6225.0000000,6225.0000000,6225.0000000,1
ATVI-RM,1,20200825,113500,6237.0000000,6237.0000000,6237.0000000,6237.0000000,1
ATVI-RM,1,20200825,113700,6237.0000000,6237.0000000,6237.0000000,6237.0000000,7
ATVI-RM,1,20200825,113900,6242.0000000,6242.0000000,6242.0000000,6242.0000000,8
ATVI-RM,1,20200825,114000,6242.0000000,6242.0000000,6242.0000000,6242.0000000,5
ATVI-RM,1,20200825,114700,6243.0000000,6243.0000000,6243.0000000,6243.0000000,3
ATVI-RM,1,20200825,114900,6243.0000000,6243.0000000,6243.0000000,6243.0000000,1
ATVI-RM,1,20200825,115600,6242.0000000,6242.0000000,6242.0000000,6242.0000000,6
ATVI-RM,1,20200825,115700,6221.0000000,6221.0000000,6221.0000000,6221.0000000,1
ATVI-RM,1,20200825,115900,6235.0000000,6243.0000000,6235.0000000,6243.0000000,2
ATVI-RM,1,20200825,120600,6232.0000000,6232.0000000,6232.0000000,6232.0000000,15
ATVI-RM,1,20200825,120800,6220.0000000,6220.0000000,6220.0000000,6220.0000000,8
ATVI-RM,1,20200825,121200,6218.0000000,6238.0000000,6218.0000000,6238.0000000,2
ATVI-RM,1,20200825,121300,6238.0000000,6238.0000000,6238.0000000,6238.0000000,1
ATVI-RM,1,20200825,121600,6238.0000000,6239.0000000,6238.0000000,6239.0000000,8
ATVI-RM,1,20200825,121700,6239.0000000,6239.0000000,6239.0000000,6239.0000000,2
